Trader Registration;;;;;
;;;;;
;Listing approval - Reject;"Radio button: Incomplete documentation, Invalid company registration
Duplicate account, Unverified contact information, Other (Provide a custom request)";Listing Status (value: Rejected);(picklist);Listing_Status__c
;Listing approval - More information required;Radio button: Additional company documentation required, Clarification on provided details, Update on business address, Other (Provide a custom request);Listing Status (value: Pending Approval);(picklist);Listing_Status__c
Bid status;Buyer full name;Text, Mandatory;Buyer Full Name (Object: Offers);Text(100);Buyer_Full_Name__c
;Buyer company;Text, Mandatory;Buyer Company (Object: Offers);Text(100);Buyer_Company__c
Buyer info obtained in 6.4.1.2 Bidding on a Listing ;Buyer warehouse location (Destination);Dropdown: locations provided during onboarding. Mandatory;Buyer location (Object: Offers);Text(100);Buyer_Location__c
"Seller info obtained in 6.4.3.2 Create a listing (sell material)
";Seller full name;Text, Mandatory;Seller Full Name(Object: Offers);Text(100);Seller_Full_Name__c
;Seller company;Text, Mandatory;Seller Company (Object: Offers);Text(100);Seller_Company__c
;Seller warehouse location (Pick-up);Dropdown: locations provided during onboarding, with option to add a new location. Mandatory;Seller Location (Object: Offers);Text(100);Seller_Location__c
;Material name;"Material dropdown selections shown as one material name; Material type/Item/Form/Grading/Colour/Finishing. N/A selections excluded from the name. Mandatory";Material Name (Object: Offers);Text(255);Material_Name__c
;Packing;Dropdown: Bags, Bales, Boxes, Bulk Bags, Loose, Octabins/Gaylords, Pallets, Mandatory;Material Packing (Object: Offers);Text (100);Material_Packing__c
;Weight;Numeric, Mandatory;Material Weight (Object: Offers);Number (16,2);Material_Weight__c
;Number of loads bid on;Numeric, Maximum cannot exceed number of loads listed. Mandatory;Number of Loads Bid on (Object: Offers);Number (18,0);number_of_loads_bid_on__c
;Currency;Dropdown, Mandatory;Currency (Object: Offers);Text(10);Currency__c
;Price per tonne;Numeric, Mandatory;Offered Price Per Unit (Object: Offers);Currency (16,2);Offered_Price_Per_Unit__c
;Incoterms;Dropdown, Mandatory;Incoterms (Object: Offers);Text (50);Incoterms__c
;Bid status;Dropdown: Approved, Haulage in Progress, Rejected, Pending. Mandatory;Bid Status (Object: Offers);Picklist;bid_status__c
;PERN Status;Checkbox(Boolean);Not in SF (Not sure if needs to be added as field in SF);;
Admin-visible notes (per listing);Notes;"Multiline text; Alphanumeric and support for special characters and punctuation. Max 4000 chars. Supports line breaks. Optional.";;;
Bid Approval actions;Listing Bid approval - Approve;Input type: approve button;Bid Status (Object: Offers, value: Approved);Picklist;bid_status__c
;Listing Bid approval - Reject;"Radio button: Incomplete documentation, Invalid company registration
Duplicate account, Unverified contact information, Other (Provide a custom request)";Bid Status (Object: Offers, value: Rejected);Picklist;bid_status__c
;;;;;
HaulageOffers;;;;;
Function;Wastetrade field;Constraints;Salesforce field ;Constraints;Salesforce API Key
Haulage Bids;Buyer ID;"Input Type: Text; Constraints: Max 50 characters; Auto-populated from Buyer account; Optional (system stored only).";Buyer User ID (Object: Offers);Text(50);Buyer_User_Id__c
;Buyer name;"Input Type: Text; Constraints: Max 100 characters; Auto-populated from Buyer account; Optional.";Buyer Full Name (Object: Offers);Text(100);Buyer_Full_Name__c
;Buyer company;"Input Type: Text; Constraints: Max 100 characters; Auto-populated from Buyer account; Optional.";Buyer Company (Object: Offers);Text(100);Buyer_Company__c
;Buyer location;"Input Type: Text; Constraints: Max 100 characters; Auto-populated from Buyer address; Optional.";Buyer location (Object: Offers);Text(100);Buyer_Location__c
;Delivery window;"Input Type: Date picker; Constraints: Must be a valid date; Optional.";Earliest Delivery Date (Object: Offers);Date;Earliest_Delivery_Date__c
;Delivery window;"Input Type: Date picker; Constraints: Must be a valid date; Optional.";Latest Delivery Date (Object: Offers);Date;Latest_Delivery_Date__c
;Buyer incoterms;Not in scope Phase 2;Not in SF;;
;Buyer offer/bid amount;"Input Type: Text; Constraints: Max 255 characters; Optional.";Bid Value (Object: Offers);Text(255);bid_value__c
;Seller ID;"Input Type: Text; Constraints: Max 50 characters; Auto-populated from Seller profile; Optional.";Seller User ID (Object: Offers);Text(50);Seller_User_Id__c
;Seller name;"Input Type: Text; Constraints: Max 100 characters; Auto-populated from Seller profile; Optional.";Seller Full Name(Object: Offers);Text(100);Seller_Full_Name__c
;Seller company;"Input Type: Text; Constraints: Max 100 characters; Auto-populated from Seller account; Optional.";Seller Company (Object: Offers);Text(100);Seller_Company__c
;Seller location;"Input Type: Text; Constraints: Max 100 characters; Auto-populated from Seller address; Optional.";Seller Location (Object: Offers);Text(100);Seller_Location__c
;Material name;"Input Type: Text; Constraints: Max 255 characters; Auto-populated from listing; Optional.";Material Name (Object: Offers);Text(255);Material_Name__c
;Packaging;"Input Type: Text; Constraints: Max 100 characters; Auto-populated from listing; Optional.";Material Packing (Object: Offers);Text (100);Material_Packing__c
;Incoterms;Input Type: Dropdown. Options: EXW, FAS, FOB, CFR, CIF, DAP, DDP. Optional.;Incoterms (Object: Offers);Text (50);Incoterms__c
;PERN;Not in scope Phase 2;Not in SF;;
;Number of loads;"Input Type: Numeric; Constraints: Integer only, no decimals; Mandatory.";Number of Loads Bid on (Object: Offers);Number (18,0);number_of_loads_bid_on__c
;Loads remaining;"Input Type: Numeric; Constraints: Integer only, no decimals; Auto-updated by system; Optional.";Buyer Loads Remaining (Object: Offers);Number (18,0);buyer_loads_remaining__c
;Quantity per load (MT);"Input Type: Numeric; Constraints: Up to 2 decimal places (MT); Mandatory.";Quantity (Object: Offers);Number (16,2);Quantity__c
;Price per tonne;"Input Type: Currency; Constraints: Decimal number, supports 2 decimals; Mandatory.";Offered Price Per Unit (Object: Offers);Currency (16,2);Offered_Price_Per_Unit__c
;Currency;"Input Type: Text; Constraints: Max 10 characters; Optional (not user-selectable).";Currency (Object: Offers);Text(10);Currency__c
;Total price shared;"Input Type: Currency; Constraints: System calculated; Read-only.";Total Price (Object: Offers);Currency (16,2);Total_Price__c
;Haulage Bid status;"Input Type: Dropdown; Constraints: Predefined status values; Read-only.";Haulier Listing Status (Object: Haulage Offers);Picklist;haulier_listing_status__c
;Haulier ID;Not mentioned in Phase 2;Not in SF;;
;Haulier name;"Input Type: Text; Constraints: Max 255 characters; Supports multiple carriers.";FC First Name, FC Second Name (Object: Haulage Loads) - the same fields repear as SC (Second carrier), TC (Third carrier) Etc;Text(255);fc_first_name__c, fc_second_name__c
;Haulier company;"Input Type: Text; Constraints: Max 255 characters; Optional.";FC Company Name (Object: Haulage Loads);Text(255);fc_company_name__c
;Haulier Trailer Type;"Input Type: Dropdown; Options: Curtain Sider, Containers, Tipper Trucks, Walking Floor; Mandatory.";Trailer Type (Object: Haulage Offers);Picklist;trailer_type__c
;Are you completing Customs clearance?;"Input Type: Checkbox; Constraints: Yes/No; Mandatory only when customs apply.";Customs Clearance (Haulage Offers);Picklist;Customs_Clearance__c
;Haulage cost per load;"Input Type: Text/Numeric; Constraints: Numeric; Max 15 characters; Mandatory.";Haulage Cost (Haulage Offers);Text(255);haulage__c
;Currency;"Input Type: Dropdown; Options: GBP, EUR, USD; Mandatory.";Haulage Currency (Haulage Offers);Text(255);haulage_currency__c
;Transport Provider;"Input Type: Radio Button; Options: Own haulage, Third party, Mixed; Mandatory.";Transport Provider (Haulage Offers);Picklist;Transport_Provider__c
;Suggested collection date;"Input Type: Date picker; Constraints: Must be within Buyer delivery window; Mandatory.";Suggested Collection Date (Haulage Offers);Date;suggested_collection_date__c
;Expected transit time (days);"Input Type: Dropdown; Options: 1, 2-3, 4-5, 6-7, 8-10, 11-14; Mandatory.";Expected Transit Time (Haulage Offers);Picklist;expected__c
;Demurrage at destination (days);"Input Type: Numeric; Constraints: Must be greater than 20; Mandatory.";Demurrage (Haulage Offers);Picklist;demurrage__c
;Notes;"Input Type: Text; Constraints: Max 32000 characters; Must not contain phone numbers, emails, URLs; Optional.";Haulage Notes (Haulage Offers);Text(255);haulage_notes__c
Haulage offer Approval actions;Haulage Bid - Approve;"Input Type: Action Button; Constraints: Marks bid as Approved; No additional input required.";Offer Accepted (Haulage Offers);Checkbox;offer_accepted__c
Haulage offer Approval actions;Haulage Bid - Reject;"Input Type: Radio Button Group; Options: Incomplete documentation, Invalid company registration, Duplicate account, Unverified contact, Other (free text required); Mandatory.";Offer Rejected (Haulage Offers);Checkbox;offer_rejected__c
